Scholarship_Name,Gender,Caste,Religion,Education,Income,ExServicemen,Disability,Sports,Percentage,Status
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Undergraduate,354618,No,No,No,52.47,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Undergraduate,503098,No,No,Yes,57.34,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Postgraduate,782787,No,No,No,80.01,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Undergraduate,255536,No,No,No,82.2,Eligible
State Minority Scholarship Part II,Male,Open,Christian,PhD,132561,No,No,Yes,76.35,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,PhD,322791,No,No,No,91.97,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,SSC,751449,No,No,Yes,97.46,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,SSC,210627,No,No,No,42.93,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Postgraduate,459109,No,No,No,52.21,Eligible
Education Concession to Children of Ex-Servicemen,Female,VJNT,Hindu,PhD,141168,Yes,No,No,46.57,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,SBC,Hindu,Undergraduate,143795,Yes,No,No,44.82,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Postgraduate,715705,No,No,No,95.19,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,Postgraduate,551414,No,No,No,72.02,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,SSC,566356,No,No,No,64.84,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,HSC,97307,No,No,No,85.92,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,PhD,363125,No,No,No,77.91,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Postgraduate,72649,No,No,No,62.48,Eligible
Education Concession to Children of Ex-Servicemen,Male,SC,Hindu,PhD,709650,Yes,No,No,84.62,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,Open,Hindu,PhD,433078,No,No,No,43.27,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Postgraduate,894249,No,No,No,73.76,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Diploma,1105344,No,No,No,85.19,Not Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Diploma,754924,No,No,No,48.48,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,SSC,925497,No,No,No,89.09,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,PhD,595633,No,No,Yes,88.66,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,PhD,886338,No,No,Yes,97.28,Not Eligible
State Minority Scholarship Part II,Female,Open,Jain,SSC,605756,No,No,No,83.22,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Diploma,354391,No,No,No,68.91,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Undergraduate,331562,No,No,Yes,97.91,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,SSC,994173,No,No,No,52.99,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,HSC,919310,No,No,No,60.32,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,HSC,1151300,No,No,No,71.43,Not Eligible
State Minority Scholarship Part II,Female,Open,Sikh,HSC,1053742,No,No,No,44.88,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,OBC,Hindu,Diploma,1100811,Yes,No,Yes,54.16,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Undergraduate,1015068,No,No,No,78.69,Not Eligible
State Minority Scholarship Part II,Male,Open,Muslim,PhD,1124587,No,No,No,59.18,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,HSC,1046391,No,No,Yes,68.42,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Postgraduate,1176620,No,No,No,51.67,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,Undergraduate,156424,No,No,No,74.12,Eligible
Education Concession to Children of Ex-Servicemen,Male,SBC,Hindu,PhD,1067418,Yes,No,No,68.56,Not Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,PhD,258582,No,No,No,60.36,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,SSC,353191,No,Yes,Yes,60.64,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Diploma,863437,No,No,Yes,67.47,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Undergraduate,384963,No,No,Yes,67.43,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,PhD,246983,No,No,Yes,79.66,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Postgraduate,103755,No,No,No,64.94,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,PhD,570051,No,No,No,65.78,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,PhD,772008,No,No,No,64.57,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Postgraduate,935935,No,Yes,No,83.92,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Diploma,1031025,No,No,No,67.58,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Undergraduate,1139003,No,No,Yes,64.48,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Postgraduate,37721,No,No,No,57.33,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,Diploma,555435,No,No,No,65.07,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,PhD,225635,No,No,No,49.79,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,PhD,195162,No,No,No,49.57,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,HSC,165947,No,No,Yes,49.93,Not Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,HSC,939642,No,No,No,45.18,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,OBC,Hindu,Postgraduate,837100,Yes,No,Yes,59.82,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,PhD,216481,No,No,No,47.24,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Postgraduate,478975,No,No,Yes,70.21,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,SSC,1141824,No,No,No,44.85,Not Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,SSC,1138344,No,No,No,90.93,Not Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Diploma,494028,No,No,Yes,70.79,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,HSC,789576,No,No,No,56.43,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,PhD,635019,No,No,Yes,55.77,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,Diploma,933123,No,No,No,45.39,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,Diploma,684954,No,No,No,82.4,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Diploma,951588,No,No,No,46.21,Not Eligible
State Minority Scholarship Part II,Male,Open,Buddhist,Postgraduate,1092266,No,No,No,73.55,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,PhD,632365,No,No,Yes,76.84,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,SSC,266155,No,No,No,84.64,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Undergraduate,429683,No,No,No,41.81,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,Open,Jain,SSC,411611,Yes,No,No,52.99,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Diploma,169728,No,No,No,82.28,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Diploma,130287,No,No,No,74.9,Eligible
Education Concession to Children of Ex-Servicemen,Female,OBC,Hindu,Diploma,601711,Yes,No,No,81.59,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Diploma,524552,No,No,No,92.8,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,SSC,891361,No,No,No,52.31,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,EWS,Hindu,HSC,803391,Yes,No,No,74.3,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,SSC,464023,No,No,No,66.51,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,SSC,665905,No,No,No,81.16,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,Diploma,1022814,No,No,Yes,86.21,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,HSC,645946,No,No,No,51.7,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,SSC,312929,No,No,No,65.61,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Diploma,362833,No,No,No,85.74,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Diploma,660460,No,No,No,78.44,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,Open,Hindu,HSC,813744,No,Yes,No,52.95,Not Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,PhD,-500000,No,No,Yes,68.93,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Postgraduate,924273,No,No,No,0.0,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Undergraduate,160444,No,No,No,65.13,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,SSC,405498,No,No,No,41.36,Not Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Diploma,1026237,No,No,No,96.1,Not Eligible
State Minority Scholarship Part II,Male,Open,Sikh,Diploma,983276,No,No,No,41.32,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Diploma,929488,No,No,No,44.18,Not Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,SSC,1087995,No,No,Yes,46.55,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Diploma,938523,No,No,No,87.12,Not Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,SSC,817259,No,No,No,93.29,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Undergraduate,483654,No,No,No,53.99,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Diploma,1073395,No,No,No,66.09,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Undergraduate,880321,No,No,No,64.24,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,ST,Hindu,Undergraduate,1067231,Yes,No,No,65.08,Not Eligible
State Minority Scholarship Part II,Male,Open,Muslim,PhD,154431,No,No,No,76.69,Eligible
State Minority Scholarship Part II,Female,Open,Sikh,Postgraduate,1058798,No,No,Yes,87.37,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Diploma,181722,No,No,No,46.66,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,Diploma,1116896,No,No,No,44.12,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,ST,Hindu,Undergraduate,691035,Yes,No,No,70.7,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Diploma,442764,No,No,No,94.47,Eligible
Education Concession to Children of Ex-Servicemen,Male,ST,Hindu,Diploma,127187,Yes,No,No,41.11,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,HSC,243183,No,No,No,88.68,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Diploma,516993,No,No,No,59.86,Eligible
State Minority Scholarship Part II,Male,Open,Christian,Undergraduate,169304,No,No,No,70.11,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,Diploma,711027,No,No,No,64.63,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Postgraduate,849850,No,No,No,76.71,Not Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,PhD,1032361,No,No,No,46.68,Not Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Undergraduate,656793,No,No,No,59.29,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,HSC,878054,No,No,No,85.42,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Diploma,1195672,No,No,Yes,58.36,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,SSC,713603,No,No,No,46.22,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Postgraduate,448415,No,No,No,73.25,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,PhD,631548,No,No,Yes,65.11,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Undergraduate,330654,No,No,No,45.5,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,SBC,Hindu,Postgraduate,632424,Yes,No,No,59.05,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,Open,Hindu,SSC,561115,No,No,No,69.69,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Postgraduate,411940,No,No,No,51.91,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,HSC,797487,No,Yes,No,72.58,Eligible
State Minority Scholarship Part II,Female,Open,Buddhist,Postgraduate,366607,No,No,No,91.03,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Undergraduate,104869,No,No,No,90.84,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,SSC,761139,No,No,No,41.9,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,EWS,Hindu,Undergraduate,1194962,Yes,No,No,53.18,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Diploma,445703,No,Yes,No,59.27,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,HSC,599202,No,Yes,No,44.92,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,OBC,Hindu,SSC,208506,Yes,No,Yes,43.98,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,SSC,969218,No,No,No,41.18,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Diploma,38415,No,No,No,44.68,Not Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,SSC,226182,No,No,No,67.23,Eligible
Education Concession to Children of Ex-Servicemen,Male,SBC,Hindu,Undergraduate,1117156,Yes,No,No,67.0,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Diploma,760872,No,No,No,48.24,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,SSC,300992,No,No,No,91.13,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Undergraduate,971171,No,Yes,No,43.82,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Diploma,101338,No,No,No,98.78,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,SSC,887045,No,No,No,97.07,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,PhD,811783,No,No,No,60.77,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,Undergraduate,721862,No,No,No,56.35,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,SSC,293051,No,Yes,No,46.7,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,PhD,283888,No,No,No,86.65,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,SSC,870987,No,No,No,91.94,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,PhD,1075218,No,No,No,80.98,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,OBC,Hindu,Undergraduate,637423,Yes,No,No,75.36,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Diploma,940137,No,No,No,48.92,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Postgraduate,388252,No,No,No,76.38,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Postgraduate,486763,No,No,No,48.96,Not Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,SSC,71137,No,No,Yes,41.08,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,Undergraduate,850930,No,No,No,47.5,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,HSC,167533,No,No,No,48.39,Not Eligible
State Minority Scholarship Part II,Female,Open,Sikh,Diploma,45730,No,No,No,64.28,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,Diploma,887915,No,No,No,59.13,Not Eligible
State Minority Scholarship Part II,Female,Open,Jain,Diploma,912419,No,No,No,61.35,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,SSC,444938,No,No,No,51.66,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,HSC,127765,No,No,No,98.24,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,Undergraduate,890181,No,No,No,87.77,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,HSC,349732,No,No,No,88.17,Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,SSC,466246,No,No,Yes,93.48,Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,HSC,802760,No,No,No,66.64,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Postgraduate,986486,No,No,Yes,97.39,Not Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Diploma,182616,No,No,No,68.6,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,Open,Hindu,HSC,582156,No,No,No,56.39,Eligible
Education Concession to Children of Ex-Servicemen,Male,VJNT,Hindu,Diploma,563762,Yes,No,No,77.75,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,SSC,107210,No,No,No,85.13,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,HSC,1190000,No,No,No,45.87,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,Open,Hindu,Postgraduate,575815,No,No,No,43.58,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Undergraduate,58850,No,No,No,81.31,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,ST,Hindu,PhD,286894,No,No,No,80.79,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,PhD,665054,No,No,No,79.14,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Undergraduate,57441,No,No,No,65.57,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Undergraduate,630833,No,Yes,No,42.73,Not Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Postgraduate,346773,No,No,No,61.92,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,Undergraduate,927717,No,No,No,92.59,Not Eligible
State Minority Scholarship Part II,Male,Open,Muslim,Postgraduate,992110,No,No,No,50.61,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,Diploma,822160,No,No,No,83.2,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Undergraduate,1058434,No,No,Yes,81.99,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,PhD,811612,No,No,No,95.71,Not Eligible
Education Concession to Children of Ex-Servicemen,Male,VJNT,Hindu,PhD,457153,Yes,No,No,80.37,Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,Undergraduate,443480,No,No,No,70.39,Eligible
State Minority Scholarship Part II,Female,Open,Christian,Diploma,537726,No,Yes,No,61.93,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Undergraduate,1125341,No,No,No,43.59,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,SSC,929127,No,No,No,95.04,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Undergraduate,224067,No,No,No,76.23,Eligible
Post Matric Scholarship to SBC Students,Male,SBC,Hindu,PhD,674408,No,No,No,42.71,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,Open,Hindu,HSC,592397,No,No,Yes,55.38,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,EWS,Hindu,Undergraduate,156524,No,No,No,46.46,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,HSC,600134,No,No,No,52.15,Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,Diploma,1111036,No,No,No,56.47,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Undergraduate,861059,No,No,No,86.18,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Postgraduate,304883,No,No,Yes,52.23,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Postgraduate,1010758,No,No,No,87.28,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,Diploma,865554,No,No,No,74.22,Not Eligible
Post Matric Scholarship to VJNT Students,Male,VJNT,Hindu,HSC,977719,No,No,No,94.76,Not Eligible
Post Matric Scholarship to OBC Students,Female,OBC,Hindu,HSC,595455,No,Yes,No,88.2,Eligible
State Minority Scholarship Part II,Female,Open,Sikh,Undergraduate,237610,No,No,No,63.18,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Postgraduate,1097891,No,No,No,57.55,Not Eligible
Post Matric Scholarship to SBC Students,Female,SBC,Hindu,PhD,772476,No,No,No,43.49,Not Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,SSC,805642,No,No,No,55.13,Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,Diploma,67718,No,No,No,48.46,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Undergraduate,221460,No,No,No,77.01,Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,SSC,1170238,No,No,No,47.34,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,EWS,Hindu,PhD,672590,Yes,No,No,41.9,Not Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,Undergraduate,947890,No,No,Yes,60.39,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Diploma,991450,No,No,No,72.23,Not Eligible
Govt. of India Post-Matric Scholarship,Male,SC,Hindu,HSC,160604,No,No,No,89.35,Eligible
Education Concession to Children of Ex-Servicemen,Female,ST,Hindu,Undergraduate,525351,Yes,No,No,86.32,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,SSC,1046536,No,No,No,88.92,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,HSC,839928,No,No,No,41.54,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,Open,Hindu,SSC,1037437,No,No,No,79.96,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Female,ST,Hindu,Postgraduate,524843,No,No,No,46.62,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,Open,Buddhist,HSC,169883,Yes,No,Yes,59.75,Eligible
Post Matric Scholarship to VJNT Students,Female,VJNT,Hindu,HSC,957419,No,No,No,57.81,Not Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Undergraduate,1164535,No,No,No,41.78,Not Eligible
Education Concession to Children of Ex-Servicemen,Female,EWS,Hindu,Postgraduate,994446,Yes,No,No,75.72,Not Eligible
Post Matric Scholarship to OBC Students,Male,OBC,Hindu,SSC,470800,No,No,Yes,73.98,Eligible
Rajarshi Chhatrapati Shahu Maharaj EBC Scheme,Male,EWS,Hindu,Postgraduate,172363,No,No,No,82.11,Eligible
State Minority Scholarship Part II,Male,Open,Muslim,Undergraduate,852836,No,No,No,76.73,Not Eligible
Govt. of India Post-Matric Scholarship,Female,SC,Hindu,SSC,879065,No,No,No,45.64,Not Eligible
